epoch_ms,torus_native_actions_processed_total,torus_orders_matched_total,torus_orders_placed_accepted_total,torus_orders_resting_total,torus_orders_rejected_margin_total,torus_orders_rejected_book_total,torus_orders_rejected_cancelled_total,torus_orders_cancelled_partial_fill_total,torus_orders_self_trade_cancels_total,torus_orders_rejected_other_total,torus_blocks_committed_total,torus_block_height
1784174251815983800,3732,246,455,304,1492345,0,0,0,26,0,13449,13449
1784174253317607300,3752,246,455,304,1500345,0,0,0,26,0,13489,13489
1784174254789853700,3852,246,455,304,1540345,0,0,0,26,0,13559,13559
1784174256185456300,3896,246,455,304,1557945,0,0,0,26,0,13595,13595
1784174257592328700,3932,246,455,304,1572345,0,0,0,26,0,13626,13626
1784174258937934800,3992,246,455,304,1596345,0,0,0,26,0,13669,13669
1784174260378184600,4032,246,455,304,1612345,0,0,0,26,0,13695,13695
1784174261845497100,4132,246,455,304,1652345,0,0,0,26,0,13760,13760
1784174263270421400,4188,246,455,304,1674745,0,0,0,26,0,13774,13774
1784174264894868900,4252,246,455,304,1700345,0,0,0,26,0,13852,13852
1784174266311333300,4312,246,455,304,1724345,0,0,0,26,0,13883,13883
1784174267698459100,4352,246,455,304,1740345,0,0,0,26,0,13921,13921
1784174269185936900,4412,246,455,304,1764345,0,0,0,26,0,13972,13972
1784174270539742300,4472,246,455,304,1788345,0,0,0,26,0,14016,14016
1784174271929525600,4532,246,455,304,1812345,0,0,0,26,0,14048,14048
1784174273333794600,4592,246,455,304,1836345,0,0,0,26,0,14077,14077
1784174274855642200,4632,246,455,304,1852345,0,0,0,26,0,14131,14131
1784174276248345300,4704,246,455,304,1881145,0,0,0,26,0,14175,14175
1784174277634249000,4752,246,455,304,1900345,0,0,0,26,0,14203,14203
178417427958040100,4812,246,455,304,1924345,0,0,0,26,0,14253,14253
1784174280417841200,4872,246,455,304,1948345,0,0,0,26,0,14297,14297
1784174281816929800,4932,246,455,304,1972345,0,0,0,26,0,14341,14341
1784174283200662600,4986,246,455,304,1993945,0,0,0,26,0,14364,14364
1784174284624629200,5032,246,455,304,2012345,0,0,0,26,0,14412,14412
178417428640241500,5092,246,455,304,2036345,0,0,0,26,0,14460,14460
1784174287434705700,5152,246,455,304,2060345,0,0,0,26,0,14489,14489
1784174288896616200,5192,246,455,304,2076345,0,0,0,26,0,14540,14540
1784174290292142200,5272,246,455,304,2108345,0,0,0,26,0,14588,14588
1784174291668328000,5292,246,455,304,2116345,0,0,0,26,0,14608,14608
178417429335766500,5352,246,455,304,2140345,0,0,0,26,0,14653,14653
1784174294493120700,5432,246,455,304,2172345,0,0,0,26,0,14702,14702
1784174295914908300,5492,246,455,304,2196345,0,0,0,26,0,14750,14750
1784174297340396700,5552,246,455,304,2220345,0,0,0,26,0,14789,14789
1784174298731342200,5612,246,455,304,2244345,0,0,0,26,0,14814,14814
1784174300156753600,5652,246,455,304,2260345,0,0,0,26,0,14865,14865
1784174301519159900,5712,246,455,304,2284345,0,0,0,26,0,14909,14909
1784174302901725500,5772,246,455,304,2308345,0,0,0,26,0,14955,14955
1784174304386491500,5772,246,455,304,2308345,0,0,0,26,0,14955,14955
1784174305784537000,5772,246,455,304,2308345,0,0,0,26,0,14955,14955
1784174307157617000,5772,246,455,304,2308345,0,0,0,26,0,14956,14956
1784174308494756800,5772,246,455,304,2308345,0,0,0,26,0,14956,14956
1784174309860386800,5772,246,455,304,2308345,0,0,0,26,0,14956,14956
1784174311240883000,5772,246,455,304,2308345,0,0,0,26,0,14956,14956
1784174312597836500,5772,246,455,304,2308345,0,0,0,26,0,14956,14956
1784174313956720200,5772,246,455,304,2308345,0,0,0,26,0,14956,14956
1784174315418264400,6272,246,455,304,2508345,0,0,0,26,0,14981,14981
1784174316942906500,6292,246,455,304,2516345,0,0,0,26,0,15020,15020
1784174318347941200,6392,246,455,304,2556345,0,0,0,26,0,15056,15056
1784174319796593800,6452,246,455,304,2580345,0,0,0,26,0,15085,15085
1784174321263256400,6492,246,455,304,2596345,0,0,0,26,0,15142,15142
1784174322690674000,6532,246,455,304,2612345,0,0,0,26,0,15170,15170
1784174324114871600,6612,246,455,304,2644345,0,0,0,26,0,15231,15231
1784174325526705400,6672,246,455,304,2668345,0,0,0,26,0,15260,15260
178417432714966400,6692,246,455,304,2676345,0,0,0,26,0,15289,15289
1784174328568679000,6792,246,455,304,2716345,0,0,0,26,0,15363,15363
1784174329961275400,6852,246,455,304,2734407,0,0,0,26,0,15389,15389
1784174331463601400,6872,246,455,304,2748345,0,0,0,26,0,15418,15418
1784174332953385900,6972,246,455,304,2788345,0,0,0,26,0,15488,15488
1784174334320442700,6992,246,455,304,2796345,0,0,0,26,0,15508,15508
1784174335733454600,7090,246,455,304,2825241,0,0,0,26,0,15553,15553
1784174337174122900,7132,246,455,304,2852345,0,0,0,26,0,15581,15581
1784174338646712100,7192,246,455,304,2876345,0,0,0,26,0,15645,15645
178417434063172100,7252,246,455,304,2900345,0,0,0,26,0,15690,15690
1784174341561364400,7312,246,455,304,2924345,0,0,0,26,0,15735,15735
1784174342988977200,7372,246,455,304,2948345,0,0,0,26,0,15758,15758
1784174344489251400,7392,246,455,304,2956345,0,0,0,26,0,15794,15794
1784174345962544500,7492,246,455,304,2996345,0,0,0,26,0,15864,15864
1784174347361386100,7552,246,455,304,3020345,0,0,0,26,0,15905,15905
1784174348839214100,7592,246,455,304,3036345,0,0,0,26,0,15932,15932
1784174350219829200,7652,246,455,304,3060345,0,0,0,26,0,15978,15978
1784174351674527700,7712,246,455,304,3084345,0,0,0,26,0,16024,16024
178417435320709900,7772,246,455,304,3108345,0,0,0,26,0,16071,16071
1784174354388859100,7772,246,455,304,3108345,0,0,0,26,0,16071,16071
1784174355759681700,7772,246,455,304,3108345,0,0,0,26,0,16071,16071
1784174357148130900,7772,246,455,304,3108345,0,0,0,26,0,16071,16071
1784174358484152800,7772,246,455,304,3108345,0,0,0,26,0,16071,16071
1784174359848177100,7772,246,455,304,3108345,0,0,0,26,0,16071,16071
1784174361260920800,7772,246,455,304,3108345,0,0,0,26,0,16071,16071
1784174363495940400,7894,246,455,304,3157145,0,0,0,26,0,16080,16080
1784174365763359900,8032,246,455,304,3212345,0,0,0,26,0,16108,16108
1784174368754429900,8032,246,455,304,3212345,0,0,0,26,0,16153,16153
1784174370508912800,8032,246,455,304,3212345,0,0,0,26,0,16214,16214
1784174371908047600,8032,246,455,304,3212345,0,0,0,26,0,16254,16254
1784174373361038200,8032,246,455,304,3212345,0,0,0,26,0,16300,16300
1784174375159136100,8032,246,455,304,3212345,0,0,0,26,0,16334,16334
1784174376656413000,8032,246,455,304,3212345,0,0,0,26,0,16395,16395
1784174377980557900,8032,246,455,304,3212345,0,0,0,26,0,16432,16432
1784174379307224500,8032,246,455,304,3212345,0,0,0,26,0,16468,16468
1784174380628507900,8032,246,455,304,3212345,0,0,0,26,0,16505,16505
1784174381948814700,8032,246,455,304,3212345,0,0,0,26,0,16543,16543
1784174383300477400,8032,246,455,304,3212345,0,0,0,26,0,16596,16596
1784174384618546600,8032,246,455,304,3212345,0,0,0,26,0,16635,16635
1784174385939651700,8032,246,455,304,3212345,0,0,0,26,0,16672,16672
1784174387262139300,8032,246,455,304,3212345,0,0,0,26,0,16708,16708
1784174388637772000,8032,246,455,304,3212345,0,0,0,26,0,16747,16747
178417439049817600,8032,246,455,304,3212345,0,0,0,26,0,16796,16796
1784174391387145800,8032,246,455,304,3212345,0,0,0,26,0,16822,16822
1784174392719853400,8032,246,455,304,3212345,0,0,0,26,0,16877,16877
178417439449855700,8032,246,455,304,3212345,0,0,0,26,0,16913,16913
1784174395376836700,8032,246,455,304,3212345,0,0,0,26,0,16950,16950
1784174396717418000,8032,246,455,304,3212345,0,0,0,26,0,16968,16968
1784174398142312100,8032,246,455,304,3212345,0,0,0,26,0,17025,17025
1784174399488308400,8032,246,455,304,3212345,0,0,0,26,0,17065,17065
1784174400866414200,8032,246,455,304,3212345,0,0,0,26,0,17118,17118
1784174402190159700,8032,246,455,304,3212345,0,0,0,26,0,17156,17156
1784174403512635100,8032,246,455,304,3212345,0,0,0,26,0,17191,17191
1784174404895152700,8032,246,455,304,3212345,0,0,0,26,0,17231,17231
1784174406238468100,8032,246,455,304,3212345,0,0,0,26,0,17267,17267
1784174407572710900,8032,246,455,304,3212345,0,0,0,26,0,17304,17304
1784174408895112400,8032,246,455,304,3212345,0,0,0,26,0,17342,17342
1784174410221708100,8032,246,455,304,3212345,0,0,0,26,0,17378,17378
1784174411564970600,8032,246,455,304,3212345,0,0,0,26,0,17433,17433
1784174412878317000,8032,246,455,304,3212345,0,0,0,26,0,17470,17470
1784174414198320400,8032,246,455,304,3212345,0,0,0,26,0,17506,17506
1784174415512985100,8032,246,455,304,3212345,0,0,0,26,0,17543,17543
1784174416840221500,8032,246,455,304,3212345,0,0,0,26,0,17580,17580
1784174418181635300,8032,246,455,304,3212345,0,0,0,26,0,17615,17615
