=== Torus Throughput Benchmark ===
Mode: consensus
Sign mode: eip712 (secp256k1 ecrecover per action)
Duration: 200s
Senders: 20 (offset 60)
Batch size: 400 order(s)/action
Submit batch: 1 action(s)/RPC call
RPC endpoints: 3

[35s] submitted: 1,412 actions (40/s) | included: 1,383 actions (39/s) | orders ~15782/s | blk: #12102 | 35ms/blk
[36s] submitted: 1,440 actions (40/s) | included: 1,423 actions (40/s) | orders ~15931/s | blk: #12124 | 35ms/blk
[36s] submitted: 1,460 actions (40/s) | included: 1,423 actions (39/s) | orders ~15710/s | blk: #12124 | 35ms/blk
[37s] submitted: 1,492 actions (40/s) | included: 1,483 actions (40/s) | orders ~16011/s | blk: #12156 | 35ms/blk
[38s] submitted: 1,520 actions (40/s) | included: 1,503 actions (40/s) | orders ~15954/s | blk: #12182 | 35ms/blk
[38s] submitted: 1,540 actions (40/s) | included: 1,523 actions (40/s) | orders ~15924/s | blk: #12197 | 35ms/blk
[39s] submitted: 1,560 actions (40/s) | included: 1,523 actions (39/s) | orders ~15716/s | blk: #12197 | 35ms/blk
[40s] submitted: 1,586 actions (40/s) | included: 1,583 actions (40/s) | orders ~16021/s | blk: #12240 | 35ms/blk
[40s] submitted: 1,607 actions (40/s) | included: 1,583 actions (40/s) | orders ~15820/s | blk: #12240 | 35ms/blk
[41s] submitted: 1,640 actions (40/s) | included: 1,623 actions (40/s) | orders ~15919/s | blk: #12260 | 35ms/blk
[41s] submitted: 1,660 actions (40/s) | included: 1,643 actions (40/s) | orders ~15865/s | blk: #12285 | 35ms/blk
[42s] submitted: 1,700 actions (40/s) | included: 1,683 actions (40/s) | orders ~15991/s | blk: #12314 | 35ms/blk
[43s] submitted: 1,720 actions (40/s) | included: 1,683 actions (40/s) | orders ~15803/s | blk: #12314 | 35ms/blk
[43s] submitted: 1,740 actions (40/s) | included: 1,723 actions (40/s) | orders ~15899/s | blk: #12334 | 35ms/blk
[44s] submitted: 1,760 actions (40/s) | included: 1,743 actions (40/s) | orders ~15871/s | blk: #12360 | 35ms/blk
[44s] submitted: 1,780 actions (40/s) | included: 1,743 actions (39/s) | orders ~15692/s | blk: #12362 | 36ms/blk
[45s] submitted: 1,820 actions (40/s) | included: 1,804 actions (40/s) | orders ~15946/s | blk: #12404 | 35ms/blk
[46s] submitted: 1,840 actions (40/s) | included: 1,844 actions (40/s) | orders ~16069/s | blk: #12430 | 35ms/blk
[46s] submitted: 1,860 actions (40/s) | included: 1,844 actions (40/s) | orders ~15895/s | blk: #12430 | 35ms/blk
[47s] submitted: 1,900 actions (40/s) | included: 1,884 actions (40/s) | orders ~15968/s | blk: #12438 | 35ms/blk
[48s] submitted: 1,920 actions (40/s) | included: 1,904 actions (40/s) | orders ~15935/s | blk: #12476 | 35ms/blk
[48s] submitted: 1,940 actions (40/s) | included: 1,904 actions (39/s) | orders ~15769/s | blk: #12476 | 35ms/blk
[49s] submitted: 1,980 actions (40/s) | included: 1,964 actions (40/s) | orders ~16000/s | blk: #12510 | 35ms/blk
[50s] submitted: 2,000 actions (40/s) | included: 1,964 actions (40/s) | orders ~15837/s | blk: #12521 | 35ms/blk
[50s] submitted: 2,020 actions (40/s) | included: 2,004 actions (40/s) | orders ~15916/s | blk: #12524 | 35ms/blk
[51s] submitted: 2,040 actions (40/s) | included: 2,024 actions (40/s) | orders ~15895/s | blk: #12565 | 35ms/blk
[52s] submitted: 2,080 actions (40/s) | included: 2,064 actions (40/s) | orders ~15986/s | blk: #12590 | 35ms/blk
[52s] submitted: 2,100 actions (40/s) | included: 2,064 actions (40/s) | orders ~15832/s | blk: #12590 | 35ms/blk
[53s] submitted: 2,120 actions (40/s) | included: 2,111 actions (40/s) | orders ~15951/s | blk: #12602 | 35ms/blk
[54s] submitted: 2,140 actions (40/s) | included: 2,124 actions (40/s) | orders ~15879/s | blk: #12636 | 35ms/blk
[54s] submitted: 2,180 actions (40/s) | included: 2,164 actions (40/s) | orders ~15973/s | blk: #12664 | 35ms/blk
[55s] submitted: 2,200 actions (40/s) | included: 2,164 actions (40/s) | orders ~15827/s | blk: #12664 | 35ms/blk
[55s] submitted: 2,220 actions (40/s) | included: 2,164 actions (39/s) | orders ~15683/s | blk: #12664 | 35ms/blk
[56s] submitted: 2,240 actions (40/s) | included: 2,164 actions (39/s) | orders ~15541/s | blk: #12664 | 35ms/blk
[56s] submitted: 2,260 actions (40/s) | included: 2,164 actions (39/s) | orders ~15403/s | blk: #12664 | 35ms/blk
[57s] submitted: 2,280 actions (40/s) | included: 2,164 actions (38/s) | orders ~15266/s | blk: #12664 | 35ms/blk
[57s] submitted: 2,300 actions (40/s) | included: 2,164 actions (38/s) | orders ~15132/s | blk: #12664 | 35ms/blk
[58s] submitted: 2,320 actions (40/s) | included: 2,164 actions (38/s) | orders ~15001/s | blk: #12664 | 35ms/blk
[58s] submitted: 2,340 actions (40/s) | included: 2,164 actions (37/s) | orders ~14871/s | blk: #12664 | 35ms/blk
[59s] submitted: 2,360 actions (40/s) | included: 2,164 actions (37/s) | orders ~14744/s | blk: #12664 | 35ms/blk
[59s] submitted: 2,380 actions (40/s) | included: 2,164 actions (37/s) | orders ~14619/s | blk: #12664 | 35ms/blk
[60s] submitted: 2,400 actions (40/s) | included: 2,164 actions (36/s) | orders ~14496/s | blk: #12664 | 35ms/blk
[60s] submitted: 2,420 actions (40/s) | included: 2,164 actions (36/s) | orders ~14376/s | blk: #12664 | 35ms/blk
[61s] submitted: 2,440 actions (40/s) | included: 2,164 actions (36/s) | orders ~14257/s | blk: #12664 | 35ms/blk
[61s] submitted: 2,460 actions (40/s) | included: 2,164 actions (35/s) | orders ~14140/s | blk: #12664 | 35ms/blk
[62s] submitted: 2,480 actions (40/s) | included: 2,164 actions (35/s) | orders ~14025/s | blk: #12664 | 35ms/blk
[62s] submitted: 2,500 actions (40/s) | included: 2,164 actions (35/s) | orders ~13912/s | blk: #12664 | 35ms/blk
