ts,committed,height,placed,matched,resting,exec_resting,lb_s,lb_c,root_s,root_c,sw_s,sw_c,evm_s,evm_c,fl_s,fl_c,db_s,db_c,execq
1784492311,689,689,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
1784492313,733,733,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
1784492315,737,737,4329,2729,2923,800,0.000730272,2,0.073764374,1,0.002943126,1,0.000002645,1,0.076765468,1,12.0,1,1
1784492317,738,738,4411,2753,2993,1550,0.001442198,3,0.15795828899999998,2,0.008989595999999999,2,0.0000053599999999999999,2,0.16706063300000002,2,143.0,2,1
1784492319,741,741,55600,41479,34202,8875,0.005599235,5,0.678365356,5,0.26996756,5,0.000013043,5,0.949471974,5,2533.0,5,0
1784492321,742,742,60220,45194,36937,12770,0.014436997,7,0.763511846,6,0.384473433,6,0.000015718,6,1.1491886470000002,6,2600.0,6,3
1784492323,746,746,83600,64357,50441,16688,0.098769225,11,1.242766604,10,0.6634004609999999,10,0.000027400000000000003,10,1.9079537810000003,10,4533.0,10,1
1784492325,748,748,123600,96637,74068,23811,0.183192191,13,1.695372415,12,0.9169035219999999,12,0.000033081000000000007,12,2.614462922,12,6695.0,12,2
1784492328,751,751,151200,118500,90534,28191,0.20969959900000002,15,2.162039083,15,1.77319239,15,0.000039794000000000008,15,3.9378798150000007,15,8393.0,15,1
1784492330,754,754,156800,123159,93767,29042,0.406229231,18,2.5172415509999999,17,1.905378864,17,0.000044713000000000007,17,4.42558785,17,8567.0,17,2
1784492332,756,756,180400,142059,107760,32682,0.570610385,20,3.110496575,19,2.318285697,19,0.000049421,19,5.432065885,19,9896.0,19,3
1784492334,758,758,206000,162367,123030,36660,0.672874806,22,3.6296563390000005,21,2.6829704039999999,21,0.000054801,21,6.316273475,21,11371.0,21,1
1784492337,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492340,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492343,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492345,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492348,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492351,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492353,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492356,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492358,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492361,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492364,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492367,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492370,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492373,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492375,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492378,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492380,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492383,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492386,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492389,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492392,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492395,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492397,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492400,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492403,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492405,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492408,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492411,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492414,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492416,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492419,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492422,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492424,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492427,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492430,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492432,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492435,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492438,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492441,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492444,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492446,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492449,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492452,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492454,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492457,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
1784492460,759,759,206000,162367,123030,36660,0.672874806,22,4.038888606,22,2.99042651,22,0.000057626,22,7.033635283,22,12087.0,22,0
